"Depth","Path","SizeBytes","SizeGiB","FileCount","DirCount","Reparse","Unreadable","Incomplete"
"0","/Demo","275951648768","257","1800","0","0","0","0"
"1","/Demo/Archives","60129542144","56","240","0","0","0","0"
"2","/Demo/Archives/2024","25769803776","24","120","0","0","0","0"
"2","/Demo/Archives/2025","34359738368","32","120","0","0","0","0"
"1","/Demo/Documents","10737418240","10","240","0","0","0","0"
"2","/Demo/Documents/Personal","3221225472","3","120","0","0","0","0"
"2","/Demo/Documents/Research","7516192768","7","120","0","0","0","0"
"1","/Demo/Downloads","28991029248","27","240","0","0","0","0"
"2","/Demo/Downloads/Exports","11811160064","11","120","0","0","0","0"
"2","/Demo/Downloads/Installers","17179869184","16","120","0","0","0","0"
"1","/Demo/Environments","48318382080","45","240","0","0","0","0"
"2","/Demo/Environments/Containers","27917287424","26","120","0","0","0","0"
"2","/Demo/Environments/Python","20401094656","19","120","0","0","0","0"
"1","/Demo/Media","84825604096","79","360","0","0","0","0"
"2","/Demo/Media/Audio","9663676416","9","120","0","0","0","0"
"2","/Demo/Media/Films","45097156608","42","120","0","0","0","0"
"2","/Demo/Media/Photography","30064771072","28","120","0","0","0","0"
"1","/Demo/Projects","42949672960","40","480","0","0","0","0"
"2","/Demo/Projects/Atlas","15032385536","14","240","0","0","0","0"
"3","/Demo/Projects/Atlas/build","12884901888","12","120","0","0","0","0"
"3","/Demo/Projects/Atlas/source","2147483648","2","120","0","0","0","0"
"2","/Demo/Projects/Orion","27917287424","26","240","0","0","0","0"
"3","/Demo/Projects/Orion/assets","19327352832","18","120","0","0","0","0"
"3","/Demo/Projects/Orion/node_modules","8589934592","8","120","0","0","0","0"
